! ---------------------------------------------------------------------------
! molecules.dat -- atomic and molecular dissociation equilibria
!
! Bookkeeping file for ATLAS/SYNTHE chemical equilibrium. Two kinds of rows:
!
! ATOMIC / ION STUB ROWS
!   Used to register an atomic species (and its ionization stages) with the
!   equilibrium solver, even when no dissociation reaction is involved.
!   Format: 10-char label + species code (with two decimal places).
!   The species code encodes one atomic number (1..99) and an optional
!   ionization stage as the decimal part:
!     HI         1.00    = neutral H
!     HII        1.01    = H+      (singly ionized)
!     CI         6.00    = neutral C
!     CVI        6.05    = C^5+    (5x ionized)
!     FeI       26.00    = neutral Fe
!
! MOLECULAR ROWS
!   Format (fixed-width, 90 columns total):
!     Cols  1-10 : human-readable label       A10  (e.g. 'OH', 'H2O', 'CaOH')
!     Cols 11-22 : species code               F12.2
!     Col   23   : space gap (1X)
!     Cols 24-30 : E1   (signed; eV)          F7.3
!     Cols 31-42 : E2                         E12.4
!     Cols 43-54 : E3                         E12.4
!     Cols 55-66 : E4                         E12.4
!     Cols 67-78 : E5                         E12.4
!     Cols 79-90 : E6                         E12.4
!     Cols 91+   : free-form comment / provenance (ignored on read)
!
!   Species code encodes the constituent atoms by concatenating their atomic
!   numbers in pairs of digits, padded with leading zeros to keep two digits
!   per atom. Examples:
!     OH              108.00   atoms 1, 8
!     CO              608.00   atoms 6, 8
!     CaH             120.00   atoms 1, 20  (decoding starts at leading nonzero)
!     H3+           10101.01   atoms 1, 1, 1; ionized
!     CH4       101010106.00   atoms 1, 1, 1, 1, 6
!
!   The label column is for human readability only; the species code is
!   the source of truth for chemistry. Diatomics labeled per BC16/IUPAC
!   convention (TiO not OTi); atoms labeled in Roman-numeral spectroscopic
!   form (HI = neutral hydrogen, HII = H+, etc.).
!
!   The polynomial gives the equilibrium constant K_eq(T) for the dissociation
!   reaction (molecule -> atoms in their ground states) via:
!
!     ln K_eq(T) = E1 / (k_B*T_eV)
!                  - E2
!                  + E3*T - E4*T^2 + E5*T^3 - E6*T^4
!                  - 1.5*(N - 2*ION - 1)*ln(T)
!
!   where N = number of constituent atoms, ION = decimal ionization stage,
!   k_B*T_eV = (Boltzmann constant)*T in eV. K_eq is in cgs number-density
!   units, so n_mol = K_eq * prod(n_atom) / n_e^ION.
!
!   The leading constant E1 is essentially the dissociation energy D_0 (eV)
!   for neutrals; for molecular ions it is D_0(AB+) - IE(ionizing atom).
!
! READING CONVENTION
!   - Lines starting with `!` (after optional leading whitespace) are skipped.
!   - Blank lines are skipped.
!   - End of file ends the molecule list (no `0.0` terminator required).
!   - Trailing text after column 90 is treated as comment.
!
! REFERENCES (used in provenance comments at the right of each row)
!   BC16     = Barklem & Collet 2016, A&A 588, A96. Equilibrium constants
!              and partition functions for diatomic molecules from
!              statistical-mechanics calculations using compiled
!              spectroscopic data. http://dx.doi.org/10.1051/0004-6361/201526961
!   CCCBDB   = NIST Computational Chemistry Comparison and Benchmark
!              Database. https://cccbdb.nist.gov/
!   ATcT     = Active Thermochemical Tables (Ruscic et al., Argonne).
!              Self-consistent thermochemical network values. Squib codes
!              like '2006Rus/Pin' identify primary sources within CCCBDB.
!   ATcT1.220 = ATcT version 1.220 (December 2025). Most recent version
!              with silicon compounds added (Bross & Ruscic, to be published).
!              Used for SiO2, SiH4, C3, and CH3.
!   CODATA   = Cox/Wagman/Medvedev 1989, "CODATA Key Values for
!              Thermodynamics" (recommended atomic enthalpies of formation).
!   Gurvich  = Gurvich/Veyts/Alcock 1989-1996, "Thermodynamic Properties
!              of Individual Substances".
!   JANAF    = NIST-JANAF Thermochemical Tables (Chase 1998).
!   Koput2023 = Koput, J. Mol. Spectrosc. 395, 111805 (2023). State-of-the-art
!              CCSD(T) ab initio with septuple-zeta basis, including core-electron
!              correlation, higher-order electron correlation (CCSDTQ), scalar
!              relativistic, and adiabatic effects. Used for MgOH.
!   ST84     = Sauval & Tatum (1984) - source of many of the original Kurucz values
! ---------------------------------------------------------------------------

SiH+            114.01  -4.908  9.8662E+00  1.4878E-03  3.0290E-07  3.8910E-11  2.0723E-15   ! BC16 D0 - IE(Si)  [D0=3.2440, IE=8.1517]; was -4.952
SH              116.00   3.626  4.5350E+01  1.9723E-03  5.2543E-07  8.3191E-11  5.1476E-15   ! BC16 Table 1; was 3.550
HCl             117.00   4.432  4.5898E+01  1.5825E-03  4.0531E-07  6.3983E-11  3.9606E-15   ! BC16 Table 1; was 4.434
CaH             120.00   2.281  4.2895E+01  1.8879E-03  3.6073E-07  4.1185E-11  2.2647E-15   ! BC16 Table 1; was 1.700
CrH             124.00   1.93   4.3462E+01  1.4126E-03  2.4979E-07  2.5054E-11  1.1794E-15   ! BC16 Table 1; was 1.930
FeH             126.00   1.497  4.5588E+01  2.8130E-03  6.5519E-07  8.6267E-11  4.2050E-15   ! BC16 Table 1; was 1.598
C-              600.00   1.263  3.6803E+01 -1.0807E-04 -3.5475E-08 -3.5725E-12 -1.4641E-16   ! Kurucz original
C2              606.00   6.371  4.9635E+01  3.4889E-03  1.0588E-06  1.7292E-10  1.0735E-14   ! BC16 Table 1; was 6.297
CN              607.00   7.737  4.7854E+01  1.8650E-03  4.6317E-07  7.2948E-11  4.5174E-15   ! BC16 Table 1; was 7.738
CN+             607.01  -5.865  1.0531E+01  2.0566E-03  4.8615E-07  7.1121E-11  4.2107E-15   ! BC16 D0 - IE(C)  [D0=5.3950, IE=11.2603]; was -6.410
CO              608.00  11.117  4.8914E+01  1.2133E-03  1.6990E-07  1.3763E-11  4.5299E-16   ! BC16 Table 1; was 11.091
AlC             613.00   3.617  4.6928E+01  2.6572E-03  7.1162E-07  1.0458E-10  5.9272E-15   ! Kurucz original
SiC             614.00   4.289  4.8733E+01  3.5377E-03  9.9928E-07  1.5245E-10  9.0345E-15   ! BC16 Table 1; was 4.640
CS              616.00   7.355  4.8536E+01  1.7529E-03  3.7872E-07  5.1956E-11  2.9409E-15   ! BC16 Table 1; was 7.355
N2              707.00   9.754  4.8708E+01  1.9370E-03  4.9854E-07  7.6174E-11  4.6475E-15   ! BC16 Table 1; was 9.759
N2+             707.01  -5.827  1.1867E+01  1.9567E-03  5.0892E-07  8.1631E-11  5.1181E-15   ! BC16 D0 - IE(N)  [D0=8.7076, IE=14.5341]; was -5.821
NO              708.00   6.508  4.7373E+01  1.9956E-03  4.9814E-07  7.3915E-11  4.4017E-15   ! BC16 Table 1; was 6.497
NO+             708.01  -2.767  1.2522E+01  1.6744E-03  3.9514E-07  5.7795E-11  3.4403E-15   ! BC16 D0 - IE(O)  [D0=10.8506, IE=13.6181]; was -2.767
MgN             712.00   3.402  4.4556E+01  2.8603E-03  7.8534E-07  1.2044E-10  7.2820E-15   ! Kurucz original
AlN             713.00   3.778  4.7680E+01  2.3545E-03  5.9644E-07  8.7844E-11  5.1682E-15   ! BC16 Table 1; was 3.727
SiN             714.00   4.493  4.7117E+01  1.7960E-03  3.6727E-07  5.0042E-11  2.8886E-15   ! BC16 Table 1; was 5.658
NS              716.00   4.801  4.6990E+01  2.2957E-03  5.9392E-07  8.9837E-11  5.4041E-15   ! BC16 Table 1; was 4.800
O-              800.00   1.462  3.6449E+01 -6.6246E-05 -2.6997E-08 -4.8284E-12 -3.0166E-16   ! Kurucz original
O2              808.00   5.116  4.8632E+01  1.6412E-03  3.4362E-07  4.6858E-11  2.6408E-15   ! BC16 Table 1; was 5.116
O2+             808.01  -7.251  1.2330E+01  1.5129E-03  3.0628E-07  4.0032E-11  2.2035E-15   ! BC16 D0 - IE(O)  [D0=6.3670, IE=13.6181]; was -6.956
MgO             812.00   2.567  4.7490E+01  4.4046E-03  1.5814E-06  3.4953E-10  2.6721E-14   ! BC16 Table 1; was 3.530
AlO             813.00   5.165  4.7491E+01  1.8257E-03  3.3193E-07  4.4069E-11  2.5856E-15   ! BC16 Table 1; was 5.270
