# POTION(999) - ionization potentials (cm^-1)
# 999 values
# READ(unit,*) (POTION(i),i=1,999)
    109678.764          0.000     198310.760     438908.850          0.000
     43487.150     610079.000     987660.100          0.000      75192.070
    146882.860    1241259.400    1756018.700          0.000      66928.100
    202887.400     305931.100    2092001.400    2744105.100          0.000
     90820.420     196664.700     386241.000     520178.400    3162395.000
   3952061.400          0.000     117225.400     238750.500     382704.000
    624866.000     789537.200    4452758.000    5380089.000          0.000
    109837.020     283240.000     443086.000     624383.800     918657.000
   1114008.000    5963135.000    7028393.000          0.000     140524.500
    282058.600     505777.000     702830.000     921430.000    1267622.000
   1493629.000    7693810.000    8897240.000          0.000     173929.700
    330391.000     511800.000     783300.000    1018000.000    1273800.000
   1671792.000    1928462.000    9645005.000   10986876.000          0.000
     41449.440     381395.000     577800.000     797800.000    1116200.000
   1388500.000    1681500.000    2130800.000    2418700.000   11817061.000
  13297676.000          0.000      61671.020     121267.610     646410.000
    881100.000    1139400.000    1504300.000    1814300.000    2144700.000
   2645200.000    2964400.000   14210261.000   15829951.000          0.000
     48278.370     151860.400     229445.710     967800.000    1239800.000
   1536300.000    1947300.000    2295400.000    2663400.000    3214800.000
   3565600.000   16825022.000   18584138.000          0.000      65747.500
    131838.400     270139.300     364093.100    1345100.000    1653900.000
   1988400.000    2445300.000    2831900.000    3237800.000    3839800.000
   4222400.000   19661693.000   21560630.000          0.000      84580.000
    159100.000     243400.000     414312.400     524460.000    1777900.000
   2123100.000    2495600.000    2998300.000    3423900.000    3868100.000
   4520100.000    4935000.000   22720766.000   24759942.000          0.000
     83558.000     188200.000     280900.000     381541.400     586200.000
    710184.000    2265900.000    2647400.000    3057700.000    3606100.000
   4071400.000    4554300.000    5255900.000    5703600.000   26002663.000
  28182535.000          0.000     104591.000     192070.000     319500.000
    431226.000     547000.000     782600.000     921051.000    2809100.000
   3226700.000    3674900.000    4268900.000    4774700.000    5296700.000
   6047200.000    6528300.000   29507950.000   31829012.000          0.000
    127109.900     222848.200     328600.000     482400.000     605100.000
    734040.000    1002730.000    1157080.000    3407300.000    3860900.000
   4347000.000    4986600.000    5533800.000    6095500.000    6894200.000
   7404400.000   33237173.000   35699936.000          0.000      35009.814
    255100.000     369450.000     491300.000     666700.000     802000.000
    948200.000    1249200.000    1418063.000    4063000.000    4555000.000
   5077000.000    5764000.000    6345000.000    6945000.000    7810000.000
   8344200.000   37188200.000   39795750.000          0.000      49305.950
     95751.870     410642.000     542600.000     681600.000     877400.000
   1026000.000    1187600.000    1520640.000    1704047.000    4774000.000
   5301000.000    5861000.000    6595000.000    7215000.000    7860000.000
   8770000.000    9338000.000   41366000.000   44117410.000          0.000
     52922.000     103237.100     199677.370     592732.000     741000.000
    892700.000    1113000.000    1275000.000    1452000.000    1816200.000
   2015060.000    5543900.000    6103000.000    6701000.000    7481000.000
   8140000.000    8820000.000    9780000.000   10388200.000   45770000.000
  48665520.000          0.000      55010.000     109494.000     221735.600
    348973.300     800900.000     964100.000    1136000.000    1374000.000
   1549000.000    1741500.000    2137900.000    2351080.000    6354300.000
   6961000.000    7597000.000    8420000.000    9120000.000    9850000.000
  10860000.000   11497000.000   50401000.000   53440800.000          0.000
     54360.000     118200.000     236410.000     376730.000     526532.000
   1033400.000    1215000.000    1399000.000    1660000.000    1859000.000
   2062000.000    2485000.000    2712250.000    7227000.000    7870000.000
   8549000.000    9420000.000   10160000.000   10930000.000   11990000.000
  12660000.000   55259000.000   58443900.000          0.000      54575.600
    132966.000     249700.000     396500.000     560200.000     731020.000
   1291900.000    1490000.000    1688000.000    1971000.000    2184000.000
   2404000.000    2862000.000    3098520.000    8151000.000    8850000.000
   9560000.000   10480000.000   11260000.000   12070000.000   13180000.000
  13882000.000   60344000.000   63675900.000          0.000      59959.400
    126145.000     271550.000     413000.000     584000.000     771100.000
    961440.000    1569000.000    1789000.000    2003000.000    2307000.000
   2536000.000    2771000.000    3250000.000    3509820.000    9152000.000
   9872000.000   10620000.000   11590000.000   12410000.000   13260000.000
  14420000.000   15162000.000   65660000.000   69137400.000          0.000
     63737.000     130563.000     247220.000     442000.000     605000.000
    799000.000    1008000.000    1218380.000    1884000.000    2114000.000
   2341000.000    2668000.000    2912000.000    3163000.000    3686000.000
   3946280.000   10180000.000   10985000.000   11850000.000   12708000.000
  13620000.000   14510000.000   15797000.000   16500000.000   71203000.000
  74829600.000          0.000      63400.000     137795.000     270200.000
    413500.000     641000.000     823000.000    1040000.000    1273000.000
   1501300.000    2221000.000    2460000.000    2710000.000    3057000.000
   3315000.000    3580000.000    4129200.000    4408500.000   11269000.000
  12135000.000   12930000.000   13990000.000   14890000.000   15820000.000
  17090000.000   17897000.000   76979000.000   80753200.000          0.000
     61600.000     146541.560     283800.000     443000.000     613500.000
    870000.000    1070000.000    1310000.000    1560000.000    1812000.000
   2589000.000    2840000.000    3100000.000    3470000.000    3740000.000
   4020000.000    2606000.000    4896200.000   12430000.000   13290000.000
  14160000.000   15280000.000   16220000.000   17190000.000   18510000.000
  19351000.000   82984000.000   86909400.000          0.000      62317.440
    163669.200     297140.000     462800.000     644000.000     831000.000
   1120000.000    1340000.000    1605000.000    1870000.000    2140000.000
   2975000.000    3234000.000    3508000.000    3903000.000    4194000.000
   4493000.000    5105000.000    5408660.000   13630000.000   14550000.000
  15450000.000   16620000.000   17600000.000   18620000.000   19986000.000
  20870000.000   89224060.000   93299090.000          0.000      75768.100
    144892.600     320390.000     479100.000     666000.000     871000.000
   1081000.000    1403000.000    1637000.000    1920000.000    2210000.000
