# CJ(2601) - J-coefficient matrix
# 2601 values
# READ(unit,*) (CJ(i),i=1,2601)
 9.79744820e-06  8.96296860e-06  8.35934549e-06  7.89335126e-06  7.44161783e-06  7.01338932e-06  6.60406268e-06  6.18398056e-06  5.76053476e-06
 5.34734829e-06  4.94621727e-06  4.53113519e-06  4.11083148e-06  3.69997631e-06  3.30117385e-06  2.88937415e-06  2.55730770e-06  2.24433006e-06
 1.88506336e-06  1.58859300e-06  1.33086897e-06  1.09505641e-06  8.86720269e-07  6.98736456e-07  5.33933743e-07  4.00542516e-07  3.06250782e-07
 2.30467716e-07  1.70827079e-07  1.22755304e-07  8.97411915e-08  6.17573521e-08  4.31436590e-08  2.84810947e-08  1.90445828e-08  1.28647073e-08
 7.72163607e-09  4.14498085e-09  2.00041016e-09  8.21655030e-10  2.57654521e-10  8.26321572e-11  2.69513765e-11  8.90661828e-12  2.97449037e-12
 5.83155356e-13  1.16051514e-13  2.33699420e-14  4.75155459e-15  5.75016867e-16  7.03774182e-17  1.84495605e-05  2.04340585e-05  1.83893753e-05
 1.67455934e-05  1.56681842e-05  1.47030431e-05  1.38123877e-05  1.29157909e-05  1.20215185e-05  1.11539807e-05  1.03144214e-05  9.44721432e-06
 8.57000031e-06  7.71299640e-06  6.88139393e-06  6.02284144e-06  5.33058911e-06  4.67816358e-06  3.92926961e-06  3.31128764e-06  2.77407705e-06
 2.28254302e-06  1.84828352e-06  1.45644794e-06  1.11293201e-06  8.34890799e-07  6.38348903e-07  4.80386613e-07  3.56071674e-07  2.55870903e-07
 1.87056331e-07  1.28726866e-07  8.99285240e-08  5.93659104e-08  3.96964700e-08  2.68151550e-08  1.60949529e-08  8.63978399e-09  4.16964794e-09
 1.71265479e-09  5.37054134e-10  1.72238158e-10  5.61773464e-11  1.85649208e-11  6.20001617e-12  1.21552673e-12  2.41897316e-13  4.87122141e-14
 9.90412136e-15  1.19856284e-15  1.46694406e-16  1.73787847e-05  1.87918674e-05  2.08999830e-05  1.83387653e-05  1.62807705e-05  1.51671131e-05
 1.41811027e-05  1.32240507e-05  1.22888417e-05  1.13916825e-05  1.05286937e-05  9.64030881e-06  8.74342375e-06  7.86815095e-06  7.01932516e-06
 6.14328580e-06  5.43706123e-06  4.77153058e-06  4.00764123e-06  3.37730951e-06  2.82937491e-06  2.32803523e-06  1.88511642e-06  1.48546973e-06
 1.13510730e-06  8.51525287e-07  6.51067057e-07  4.89957364e-07  3.63165556e-07  2.60968439e-07  1.90782877e-07  1.31291340e-07  9.17200485e-08
 6.05485677e-08  4.04872778e-08  2.73493468e-08  1.64155829e-08  8.81189759e-09  4.25271133e-09  1.74677236e-09  5.47752673e-10  1.75669266e-10
