# NNN(6,365) - Saha equation data
# 2190 values in column-major order
# READ(unit,*) ((NNN(i,j),i=1,6),j=1,365)
     200020001      200020011      201620881      231228281      378953411        1359502
     100010001      100010001      100010001      100010001      100010001        1359500
     100010001      100010011      102111241      145022061      363059451        2458104
     200020001      200020071      208524971      382669341      128222452        5440302
     100010001      100010001      100010001      100010001      100010001        5440300
     200020011      201220481      212922881      258731081      394251691         538901
     100010001      100010201      126225521       67216512      351165562        7561907
     200020001      200020211      227936571       69610342      137217102       12241800
     100010001      100010001      100010001      100010001      100010001       12241800
     100010051      104311441      131615641      190623681      298037691         931900
     200120231      211422771      249627631      309034911      398545051        1820600
     100010001      100010201      126225521       67216512      351165562       15385000
     200020001      200020011      201220661      223426161      332644691       21765700
     600060001      600560281      608761991      637466191      693973361         829500
     100310831      132016901      214226411      315736741      419147071        2514900
     200721061      233526401      297533311      369040481      440747651        3792000
     100010001      100010001      100010001      100010001      100010001       25929800
     893292271       96110042      105311262      126315202      196126432        1125508
     595060251      620865751      713280191       95712292      167623542        2437501
     105513201      180324851      341851341       88416332      296550722        4787101
     204922771      262630421      350941931      494556971      644872001        6447600
     403141851      457051681      594071181       92913362      203331152        1452915
     919899541      107211512      124914302      182526232      403762662        2959202
     596862721      684177081       88110342      128317062      239334312        4742501
     112816481      240733751      462068491      116419932      283736822        7744900
     210124681      293634211      391145791      539862151      703178471        9786200
     874789691      924795711       99410492      115213492      169022242        1361307
     424151091      622874781       91312832      221842502       79914013        3510711
      95610702      118113032      149619922      329761642      101914173        5488500
     603567171      775391141      106612482      143716252      181420032        7739300
     124420321      306943181      606281181      101712232      142916342       11387300
     215026541      323137551      421546491      508255151      594863811       13807900
     575958511      589859231      595860671      636470031      815199581        1741802
     900296401      102610802      113912542      152921152      318348952        3498003
     469162651      791295541      121419552      402686872      154822203        6264500
      99511422      129214572      170523002      320140922      498458762        8713900
     615472711       87710602      127215002      172919582      218624152       11421300
     135324181      377252001      661580261       94410852      122613672       15711700
     100010001      100010051      105313051      210239461       74013022        2155808
     580158751      591759741      642687101      159332652       64111533        4106907
      93510272      110411662      127116062      257647882       75110223        6350000
     529774371       94611322      135816202      188221442      240626682        9701900
