  +0.2469 +0.9117  +0.2597 +0.9123  +0.2726 +0.9255  +0.2854 +0.9383
  +0.2982 +0.9384  +0.3111 +0.9418  +0.3239 +0.9399  +0.3367 +0.9385
  +0.3496 +0.9492  +0.3624 +0.9479  +0.3752 +0.9356  +0.3881 +0.9362
  +0.4009 +0.9478  +0.4138 +0.9570  +0.4266 +0.9604  +0.4394 +0.9621
  +0.4523 +0.9640  +0.4651 +0.9658  +0.4779 +0.9677  +0.4908 +0.9697
  +0.5036 +0.9717  +0.5165 +0.9738  +0.5227 +0.9748
   5   144    44
  -0.0068 +1.4307  +0.0060 +1.3452  +0.0188 +1.2567  +0.0317 +1.1853
  +0.0445 +1.1303  +0.0573 +1.0813  +0.0702 +1.0338  +0.0830 +0.9852
  +0.0958 +0.9417  +0.1087 +0.9488  +0.1215 +1.0103  +0.1344 +0.9984
  +0.1472 +0.9049  +0.1600 +0.8445  +0.1729 +0.9024  +0.1857 +0.9655
  +0.1985 +0.8739  +0.2114 +0.7210  +0.2242 +0.6566  +0.2371 +0.6128
  +0.2499 +0.5761  +0.2627 +0.5816  +0.2756 +0.7207  +0.2884 +1.0204
  +0.3012 +1.1517  +0.3141 +1.0906  +0.3269 +0.9880  +0.3398 +0.8272
  +0.3526 +0.6412  +0.3654 +0.5557  +0.3783 +0.6107  +0.3911 +0.6382
  +0.4039 +0.5218  +0.4168 +0.3735  +0.4296 +0.2969  +0.4425 +0.2603
  +0.4553 +0.2360  +0.4681 +0.2154  +0.4810 +0.2066  +0.4938 +0.2009
  +0.5066 +0.1965  +0.5195 +0.2000  +0.5323 +0.2038  +0.5351 +0.2047
   6   129    29
  +0.0121 +0.7350  +0.0249 +0.5226  +0.0378 +0.3004  +0.0506 +0.3387
  +0.0634 +0.6653  +0.0763 +0.9732  +0.0891 +1.0441  +0.1019 +1.0294
  +0.1148 +1.1143  +0.1276 +1.0934  +0.1405 +0.9296  +0.1533 +0.8494
  +0.1661 +0.8760  +0.1790 +0.8677  +0.1918 +0.8287  +0.2046 +0.7734
  +0.2175 +0.7200  +0.2303 +0.7126  +0.2432 +0.7429  +0.2560 +0.7178
  +0.2688 +0.6357  +0.2817 +0.5962  +0.2945 +0.6276  +0.3073 +0.6908
  +0.3202 +0.7085  +0.3330 +0.6577  +0.3459 +0.6261  +0.3587 +0.6190
  +0.3590 +0.6188
   7   145    45
  -0.0077 +1.2862  +0.0051 +1.2627  +0.0180 +1.2271  +0.0308 +1.1836
  +0.0436 +1.1377  +0.0565 +1.0920  +0.0693 +1.0473  +0.0821 +1.0030
  +0.0950 +0.9671  +0.1078 +0.9963  +0.1207 +1.1461  +0.1335 +1.2175
  +0.1463 +1.0839  +0.1592 +0.8722  +0.1720 +0.7543  +0.1848 +0.7153
  +0.1977 +0.7443  +0.2105 +0.8442  +0.2234 +0.8551  +0.2362 +0.7119
  +0.2490 +0.5801  +0.2619 +0.6024  +0.2747 +0.7166  +0.2875 +0.7728
  +0.3004 +0.9373  +0.3132 +1.1396  +0.3261 +1.1103  +0.3389 +0.9475
  +0.3517 +0.7731  +0.3646 +0.5848  +0.3774 +0.5207  +0.3902 +0.7509
  +0.4031 +0.9531  +0.4159 +0.8680  +0.4288 +0.5523  +0.4416 +0.2788
  +0.4544 +0.1864  +0.4673 +0.1547  +0.4801 +0.1323  +0.4929 +0.1199
  +0.5058 +0.1176  +0.5186 +0.1156  +0.5315 +0.1179  +0.5443 +0.1258
  +0.5567 +0.1339
   8   146    46
  -0.0081 +1.3709  +0.0047 +1.3456  +0.0176 +1.3049  +0.0304 +1.2550
  +0.0433 +1.2044  +0.0561 +1.1569  +0.0689 +1.1126  +0.0818 +1.0737
  +0.0946 +1.0496  +0.1074 +1.0952  +0.1203 +1.2622  +0.1331 +1.3524
  +0.1460 +1.1945  +0.1588 +0.8763  +0.1716 +0.6761  +0.1845 +0.6289
  +0.1973 +0.6302  +0.2101 +0.6898  +0.2230 +0.8041  +0.2358 +0.7989
  +0.2486 +0.6407  +0.2615 +0.5185  +0.2743 +0.4891  +0.2872 +0.5132
  +0.3000 +0.6382  +0.3128 +0.8363  +0.3257 +0.9981  +0.3385 +1.0704
  +0.3513 +1.0927  +0.3642 +0.9832  +0.3770 +0.7640  +0.3899 +0.6797
  +0.4027 +0.8530  +0.4155 +0.9290  +0.4284 +0.7453  +0.4412 +0.4450
  +0.4540 +0.2737  +0.4669 +0.2133  +0.4797 +0.1787  +0.4926 +0.1489
  +0.5054 +0.1300  +0.5182 +0.1169  +0.5311 +0.1099  +0.5439 +0.1106
  +0.5567 +0.1133  +0.5650 +0.1149
   9   145    45
  +0.0127 +0.4040  +0.0256 +0.8457  +0.0384 +1.0839  +0.0512 +1.0788
  +0.0641 +0.8896  +0.0769 +0.7193  +0.0897 +1.0261  +0.1026 +1.3259
  +0.1154 +1.2982  +0.1283 +1.0366  +0.1411 +0.7898  +0.1539 +0.7607
  +0.1668 +0.8702  +0.1796 +0.8800  +0.1924 +0.8245  +0.2053 +0.8273
  +0.2181 +0.9960  +0.2310 +1.4850  +0.2438 +1.8284  +0.2566 +1.8395
  +0.2695 +1.6326  +0.2823 +1.4011  +0.2951 +1.3339  +0.3080 +1.4366
  +0.3208 +1.4589  +0.3337 +1.3564  +0.3465 +1.2154  +0.3593 +1.1065
  +0.3722 +1.0445  +0.3850 +1.0103  +0.3978 +0.9968  +0.4107 +0.9960
  +0.4235 +0.9990  +0.4364 +1.0022  +0.4492 +1.0056  +0.4620 +1.0090
  +0.4749 +1.0128  +0.4877 +1.0166  +0.5005 +1.0204  +0.5134 +1.0233
  +0.5262 +1.0253  +0.5391 +1.0265  +0.5519 +1.0269  +0.5647 +1.0265
  +0.5694 +1.0261
  10   147    47
  -0.0117 +2.1778  +0.0012 +2.0641  +0.0140 +1.8502  +0.0268 +1.6254
  +0.0397 +1.4820  +0.0525 +1.3930  +0.0653 +1.3304  +0.0782 +1.2686
  +0.0910 +1.2052  +0.1038 +1.1664  +0.1167 +1.2063  +0.1295 +1.3096
  +0.1424 +1.3151  +0.1552 +1.1838  +0.1680 +1.0370  +0.1809 +0.9618
  +0.1937 +0.9133  +0.2065 +0.8706  +0.2194 +0.8565  +0.2322 +0.9005
  +0.2451 +0.9360  +0.2579 +0.8809  +0.2707 +0.8169  +0.2836 +0.7960
  +0.2964 +0.7398  +0.3092 +0.6665  +0.3221 +0.6418  +0.3349 +0.7218
  +0.3478 +0.8171  +0.3606 +0.8035  +0.3734 +0.7409  +0.3863 +0.8100
  +0.3991 +1.0237  +0.4119 +1.1189  +0.4248 +1.0208  +0.4376 +0.8674
  +0.4505 +0.7959  +0.4633 +0.8442  +0.4761 +0.8905  +0.4890 +0.8419
  +0.5018 +0.7010  +0.5146 +0.5687  +0.5275 +0.4935  +0.5403 +0.7639
  +0.5532 +0.5868  +0.5660 +0.3462  +0.5748 +0.3430
  11   130    30
  +0.0130 +0.6999  +0.0258 +0.8310  +0.0387 +0.8002  +0.0515 +0.7316
  +0.0644 +0.8205  +0.0772 +0.8850  +0.0900 +0.9060  +0.1029 +0.9152
  +0.1157 +0.9608  +0.1285 +0.9755  +0.1414 +0.9572  +0.1542 +0.9823
  +0.1671 +0.9797  +0.1799 +0.9321  +0.1927 +0.9515  +0.2056 +0.9830
  +0.2184 +0.9571  +0.2312 +0.9401  +0.2441 +0.9794  +0.2569 +1.0561
  +0.2698 +1.0741  +0.2826 +1.0116  +0.2954 +0.9657  +0.3083 +0.9637
  +0.3211 +0.9609  +0.3339 +0.9566  +0.3468 +0.9461  +0.3596 +0.9318
  +0.3725 +0.9248  +0.3777 +0.9240
  12     2     0
  3.0000  13.3660  1.0000  0.0000
  13   146    46
  +0.0134 +1.1229  +0.0263 +1.0813  +0.0391 +1.0554  +0.0519 +0.9258
  +0.0648 +0.6950  +0.0776 +0.5887  +0.0904 +1.0927  +0.1033 +1.4937
  +0.1161 +1.5400  +0.1290 +1.3621  +0.1418 +1.2658  +0.1546 +1.1841
  +0.1675 +1.0286  +0.1803 +0.9612  +0.1931 +0.9333  +0.2060 +0.8755
  +0.2188 +0.7971  +0.2317 +0.7106  +0.2445 +0.6282  +0.2573 +0.5532
  +0.2702 +0.4826  +0.2830 +0.4145  +0.2958 +0.4307  +0.3087 +0.4888
  +0.3215 +0.4403  +0.3343 +0.4616  +0.3472 +0.5119  +0.3600 +0.4440
  +0.3729 +0.3777  +0.3857 +0.3526  +0.3985 +0.3328  +0.4114 +0.3226
  +0.4242 +0.3058  +0.4370 +0.2776  +0.4499 +0.2460  +0.4627 +0.2156
  +0.4756 +0.1881  +0.4884 +0.1644  +0.5012 +0.1418  +0.5141 +0.1274
  +0.5269 +0.1183  +0.5397 +0.1126  +0.5526 +0.1119  +0.5654 +0.1166
  +0.5783 +0.1252  +0.5866 +0.1319
  14   148    48
  -0.0122 +2.2570  +0.0006 +2.1767  +0.0135 +2.0603  +0.0263 +1.8410
  +0.0391 +1.5864  +0.0520 +1.4294  +0.0648 +1.3587  +0.0777 +1.3071
  +0.0905 +1.2541  +0.1033 +1.2030  +0.1162 +1.1544  +0.1290 +1.1136
  +0.1418 +1.1031  +0.1547 +1.0986  +0.1675 +1.0402  +0.1804 +0.9607
  +0.1932 +0.9122  +0.2060 +0.8736  +0.2189 +0.8280  +0.2317 +0.8191
  +0.2445 +0.8532  +0.2574 +0.8497  +0.2702 +0.7982  +0.2830 +0.7758
  +0.2959 +0.7360  +0.3087 +0.6422  +0.3216 +0.5763  +0.3344 +0.6629
  +0.3472 +0.8454  +0.3601 +0.9176  +0.3729 +0.8508  +0.3857 +0.7673
  +0.3986 +0.7905  +0.4114 +0.9359  +0.4243 +1.0195  +0.4371 +1.0013
  +0.4499 +0.9634  +0.4628 +0.8803  +0.4756 +0.7800  +0.4884 +0.7341
  +0.5013 +0.6998  +0.5141 +0.6063  +0.5270 +0.4929  +0.5398 +0.3806
  +0.5526 +0.5913  +0.5655 +0.4926  +0.5783 +0.3015  +0.5886 +0.2989
  15   136    36
  +0.1406 +0.3400  +0.1534 +0.4895  +0.1663 +0.6245  +0.1791 +0.7479
  +0.1919 +0.9206  +0.2048 +0.9517  +0.2176 +0.8801  +0.2304 +0.9131
