 ABUNDANCE CHANGE  3 -10.99  4 -10.66  5  -9.34  6  -3.61  7  -4.21  8  -3.35
 ABUNDANCE CHANGE  9  -7.48 10  -4.11 11  -5.80 12  -4.44 13  -5.59 14  -4.53
 ABUNDANCE CHANGE 15  -6.63 16  -4.92 17  -6.54 18  -5.64 19  -7.01 20  -5.70
 ABUNDANCE CHANGE 21  -8.89 22  -7.09 23  -8.11 24  -6.40 25  -6.61 26  -4.54
 ABUNDANCE CHANGE 27  -7.05 28  -5.82 29  -7.85 30  -7.48 31  -9.00 32  -8.39
 ABUNDANCE CHANGE 33  -9.74 34  -8.70 35  -9.50 36  -8.79 37  -9.52 38  -9.17
 ABUNDANCE CHANGE 39  -9.83 40  -9.46 41 -10.58 42 -10.16 43 -20.00 44 -10.29
 ABUNDANCE CHANGE 45 -11.13 46 -10.47 47 -11.10 48 -10.33 49 -11.24 50 -10.00
 ABUNDANCE CHANGE 51 -11.03 52  -9.86 53 -10.49 54  -9.80 55 -10.96 56  -9.86
 ABUNDANCE CHANGE 57 -10.94 58 -10.46 59 -11.32 60 -10.62 61 -20.00 62 -11.08
 ABUNDANCE CHANGE 63 -11.52 64 -10.97 65 -11.74 66 -10.94 67 -11.56 68 -11.12
 ABUNDANCE CHANGE 69 -11.94 70 -11.20 71 -11.94 72 -11.19 73 -12.16 74 -11.19
 ABUNDANCE CHANGE 75 -11.78 76 -10.64 77 -10.66 78 -10.42 79 -11.12 80 -10.87
 ABUNDANCE CHANGE 81 -11.14 82 -10.29 83 -11.39 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -12.02 91 -20.00 92 -12.58
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
 ABUNDANCE TABLE
    1H   0.920680       2He  0.078360
 2.77089560E-03   3889.2 7.632E+01 1.215E+10 7.662E-04 9.955E-02 2.000E+05 0.000E+00 0.000E+00
 3.31400674E-03   3913.4 9.128E+01 1.442E+10 8.711E-04 9.831E-02 2.000E+05 0.000E+00 0.000E+00
 3.95090344E-03   3937.7 1.088E+02 1.706E+10 9.908E-04 9.703E-02 2.000E+05 0.000E+00 0.000E+00
 4.69757616E-03   3962.1 1.294E+02 2.014E+10 1.127E-03 9.579E-02 2.000E+05 0.000E+00 0.000E+00
 5.57269696E-03   3986.5 1.535E+02 2.371E+10 1.283E-03 9.465E-02 2.000E+05 0.000E+00 0.000E+00
 6.59805036E-03   4011.1 1.817E+02 2.787E+10 1.460E-03 9.361E-02 2.000E+05 0.000E+00 0.000E+00
 7.79907884E-03   4035.8 2.148E+02 3.271E+10 1.662E-03 9.276E-02 2.000E+05 0.000E+00 0.000E+00
 9.20548685E-03   4060.5 2.535E+02 3.833E+10 1.893E-03 9.212E-02 2.000E+05 0.000E+00 0.000E+00
 1.08519598E-02   4085.6 2.989E+02 4.487E+10 2.157E-03 9.163E-02 2.000E+05 0.000E+00 0.000E+00
 1.27789949E-02   4110.8 3.520E+02 5.247E+10 2.458E-03 9.127E-02 2.000E+05 0.000E+00 0.000E+00
 1.50338682E-02   4136.4 4.141E+02 6.130E+10 2.801E-03 9.112E-02 2.000E+05 0.000E+00 0.000E+00
 1.76718045E-02   4162.2 4.867E+02 7.157E+10 3.193E-03 9.116E-02 2.000E+05 0.000E+00 0.000E+00
 2.07572567E-02   4188.6 5.717E+02 8.352E+10 3.641E-03 9.130E-02 2.000E+05 0.000E+00 0.000E+00
 2.43654214E-02   4215.3 6.711E+02 9.740E+10 4.153E-03 9.160E-02 2.000E+05 0.000E+00 0.000E+00
 2.85840359E-02   4242.5 7.873E+02 1.135E+11 4.737E-03 9.208E-02 2.000E+05 0.000E+00 0.000E+00
 3.35156709E-02   4270.2 9.231E+02 1.323E+11 5.404E-03 9.263E-02 2.000E+05 0.000E+00 0.000E+00
 3.92800856E-02   4298.3 1.082E+03 1.541E+11 6.165E-03 9.335E-02 2.000E+05 0.000E+00 0.000E+00
 4.60169779E-02   4326.9 1.267E+03 1.795E+11 7.035E-03 9.427E-02 2.000E+05 0.000E+00 0.000E+00
 5.38897601E-02   4355.9 1.484E+03 2.089E+11 8.028E-03 9.541E-02 2.000E+05 0.000E+00 0.000E+00
 6.30891558E-02   4385.3 1.738E+03 2.432E+11 9.162E-03 9.673E-02 2.000E+05 0.000E+00 0.000E+00
 7.38378860E-02   4414.9 2.034E+03 2.829E+11 1.046E-02 9.831E-02 2.000E+05 0.000E+00 0.000E+00
 8.63961054E-02   4444.9 2.380E+03 3.291E+11 1.194E-02 1.002E-01 2.000E+05 0.000E+00 0.000E+00
 1.01068389E-01   4474.9 2.784E+03 3.828E+11 1.362E-02 1.025E-01 2.000E+05 0.000E+00 0.000E+00
 1.18209352E-01   4505.1 3.256E+03 4.450E+11 1.555E-02 1.052E-01 2.000E+05 0.000E+00 0.000E+00
 1.38235366E-01   4535.3 3.807E+03 5.173E+11 1.775E-02 1.085E-01 2.000E+05 0.000E+00 0.000E+00
 1.61630900E-01   4565.4 4.452E+03 6.010E+11 2.026E-02 1.124E-01 2.000E+05 0.000E+00 0.000E+00
 1.88963116E-01   4595.4 5.204E+03 6.982E+11 2.313E-02 1.170E-01 2.000E+05 0.000E+00 0.000E+00
 2.20894093E-01   4625.3 6.084E+03 8.108E+11 2.640E-02 1.225E-01 2.000E+05 0.000E+00 0.000E+00
 2.58202472E-01   4655.1 7.111E+03 9.414E+11 3.013E-02 1.290E-01 2.000E+05 0.000E+00 0.000E+00
 3.01787676E-01   4685.1 8.312E+03 1.093E+12 3.439E-02 1.366E-01 2.000E+05 0.000E+00 0.000E+00
 3.52717537E-01   4715.3 9.715E+03 1.269E+12 3.925E-02 1.456E-01 2.000E+05 0.000E+00 0.000E+00
 4.12225426E-01   4746.0 1.135E+04 1.473E+12 4.479E-02 1.560E-01 2.000E+05 0.000E+00 0.000E+00
 4.81754880E-01   4777.5 1.327E+04 1.710E+12 5.112E-02 1.681E-01 2.000E+05 0.000E+00 0.000E+00
 5.63001277E-01   4810.6 1.551E+04 1.987E+12 5.834E-02 1.822E-01 2.000E+05 0.000E+00 0.000E+00
 6.57922152E-01   4845.7 1.812E+04 2.311E+12 6.659E-02 1.984E-01 2.000E+05 0.000E+00 0.000E+00
 7.68810585E-01   4883.8 2.117E+04 2.692E+12 7.602E-02 2.171E-01 2.000E+05 0.000E+00 0.000E+00
 8.98313153E-01   4926.1 2.474E+04 3.142E+12 8.682E-02 2.386E-01 2.000E+05 0.000E+00 0.000E+00
 1.04951469E+00   4973.8 2.891E+04 3.679E+12 9.920E-02 2.632E-01 2.000E+05 0.000E+00 0.000E+00
 1.22589170E+00   5028.5 3.376E+04 4.324E+12 1.134E-01 2.915E-01 2.000E+05 0.000E+00 0.000E+00
 1.43144721E+00   5092.0 3.942E+04 5.109E+12 1.299E-01 3.241E-01 2.000E+05 0.000E+00 0.000E+00
 1.67048062E+00   5167.1 4.601E+04 6.085E+12 1.492E-01 3.620E-01 2.000E+05 0.000E+00 0.000E+00
 1.94746247E+00   5255.1 5.364E+04 7.326E+12 1.722E-01 4.070E-01 2.000E+05 0.000E+00 0.000E+00
 2.26612893E+00   5357.9 6.241E+04 8.959E+12 2.005E-01 4.633E-01 2.000E+05 0.000E+00 0.000E+00
 2.62783688E+00   5481.1 7.238E+04 1.126E+13 2.380E-01 5.383E-01 2.000E+05 0.000E+00 0.000E+00
 3.02855862E+00   5626.4 8.341E+04 1.470E+13 2.910E-01 6.457E-01 2.000E+05 0.000E+00 0.000E+00
 3.45695933E+00   5794.7 9.521E+04 2.019E+13 3.710E-01 8.117E-01 2.000E+05 0.000E+00 0.000E+00
 3.89172206E+00   5998.9 1.072E+05 2.984E+13 5.031E-01 1.088E+00 2.000E+05 1.071E+04 0.000E+00
 4.30689718E+00   6236.0 1.186E+05 4.710E+13 7.236E-01 1.552E+00 2.000E+05 1.605E+06 6.068E+03
 4.67926291E+00   6517.9 1.289E+05 7.984E+13 1.111E+00 2.362E+00 2.000E+05 2.901E+07 3.145E+04
 4.99339613E+00   6847.0 1.375E+05 1.428E+14 1.804E+00 3.754E+00 2.000E+05 1.318E+08 7.834E+04
 5.24497878E+00   7220.7 1.445E+05 2.623E+14 3.049E+00 5.908E+00 2.000E+05 4.725E+08 1.112E+05
 5.44628307E+00   7582.9 1.500E+05 4.497E+14 4.957E+00 7.984E+00 2.000E+05 1.213E+09 1.677E+05
 5.61915664E+00   7886.6 1.548E+05 6.835E+14 7.348E+00 8.750E+00 2.000E+05 2.174E+09 2.030E+05
 5.78104297E+00   8139.4 1.592E+05 9.488E+14 1.012E+01 8.538E+00 2.000E+05 2.990E+09 2.210E+05
 5.94126867E+00   8365.1 1.636E+05 1.253E+15 1.338E+01 8.120E+00 2.000E+05 3.561E+09 2.255E+05
 6.10530947E+00   8571.0 1.681E+05 1.597E+15 1.718E+01 7.561E+00 2.000E+05 3.967E+09 2.300E+05
 6.27800543E+00   8759.2 1.729E+05 1.978E+15 2.151E+01 7.139E+00 2.000E+05 4.231E+09 2.276E+05
 6.46274155E+00   8944.3 1.780E+05 2.423E+15 2.671E+01 6.843E+00 2.000E+05 4.412E+09 2.263E+05
 6.66253831E+00   9120.6 1.835E+05 2.921E+15 3.271E+01 6.392E+00 2.000E+05 4.561E+09 2.229E+05
 6.88127086E+00   9291.7 1.895E+05 3.485E+15 3.968E+01 6.081E+00 2.000E+05 4.661E+09 2.205E+05
 7.12185179E+00   9464.4 1.961E+05 4.141E+15 4.801E+01 5.713E+00 2.000E+05 4.740E+09 2.155E+05
 7.38896972E+00   9628.1 2.035E+05 4.860E+15 5.731E+01 5.396E+00 2.000E+05 4.808E+09 2.137E+05
 7.68620128E+00   9803.0 2.117E+05 5.733E+15 6.889E+01 5.108E+00 2.000E+05 4.837E+09 2.078E+05
 8.01911244E+00   9963.4 2.208E+05 6.658E+15 8.136E+01 5.078E+00 2.000E+05 4.892E+09 2.050E+05
PRADK 1.4873E+00
BEGIN                    ITERATION  45 COMPLETED
